0          References for Cross Section of OHt       Total   
(Theoretical)                                                                   
Lambda = 939.30-1907.00 A                                                       
   Vandishoeck, E.                                                              
   Photodissociation and excitation of interstellar molecules.                  
                                                                                
0          References for Cross Section of OHt       O/H     
                                                                                
0          References for Cross Section of OHt       O1S/H   
                                                                                
0          References for Cross Section of OHt       OH+     
                                                                                
0 Branching ratio for OHt      Total        4 branches
 Lambda  Total   O/H      O1S/H    OH+      O1D/H   
 1193.0 1.88E-18 0.00E+00 2.59E-19 0.00E+00 1.62E-18
 1216.0 1.71E-18 0.00E+00 2.00E-19 0.00E+00 1.51E-18
 1229.0 1.57E-18 0.00E+00 1.19E-19 0.00E+00 1.45E-18
 1232.0 4.55E-18 0.00E+00 1.09E-19 0.00E+00 4.44E-18
 1234.0 2.00E-17 0.00E+00 1.20E-19 0.00E+00 1.99E-17
 1240.0 4.55E-18 0.00E+00 9.10E-20 0.00E+00 4.46E-18
 1252.0 1.78E-18 1.78E-21 1.25E-20 0.00E+00 1.77E-18
 1305.0 1.38E-18 9.66E-21 1.38E-21 0.00E+00 1.37E-18
 1378.0 6.30E-19 2.50E-19 0.00E+00 0.00E+00 3.80E-19
 1409.0 7.80E-19 5.90E-19 0.00E+00 0.00E+00 1.90E-19
 1442.0 1.23E-18 1.14E-18 0.00E+00 0.00E+00 8.73E-20
 1476.0 1.87E-18 1.84E-18 0.00E+00 0.00E+00 2.99E-20
 1512.0 2.55E-18 2.54E-18 0.00E+00 0.00E+00 1.02E-20
 1550.0 2.97E-18 2.97E-18 0.00E+00 0.00E+00 2.97E-21
 1569.0 3.01E-18 3.01E-18 0.00E+00 0.00E+00 2.97E-21
 1590.0 2.90E-18 2.90E-18 0.00E+00 0.00E+00 2.81E-21
 1631.0 2.28E-18 2.28E-18 0.00E+00 0.00E+00 2.13E-21
 1675.0 1.42E-18 1.42E-18 0.00E+00 0.00E+00 1.28E-21
 1722.0 7.00E-19 6.99E-19 0.00E+00 0.00E+00 6.05E-22
 1771.0 2.80E-19 2.80E-19 0.00E+00 0.00E+00 2.31E-22
 1907.0 1.00E-20 9.99E-21 0.00E+00 0.00E+00 7.20E-24
 2000.0 1.00E-21 9.99E-22 0.00E+00 0.00E+00 6.47E-25
 2100.0 1.00E-22 9.99E-23 0.00E+00 0.00E+00 5.68E-26
 2200.0 1.00E-23 1.00E-23 0.00E+00 0.00E+00 4.89E-27
 2300.0 1.00E-24 1.00E-24 0.00E+00 0.00E+00 4.11E-28
 2437.9 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.51E-28
 2438.9 1.20E-20 1.20E-20 0.00E+00 0.00E+00 3.62E-24
 2439.9 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.50E-28
 2443.1 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.49E-28
